
2023-03-22 17:36:51 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-22 17:57:03 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-22 17:59:03 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-22 18:05:39 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-22 18:11:00 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-22 18:18:28 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-22 18:19:57 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-22 18:28:13 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-22 18:29:56 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-23 04:01:07 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-23 04:01:38 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-23 04:08:33 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
2023-03-23 04:13:07 TEST 1:Example POST test ('https://reqres.in/api/users/', {'name': 'morpheus', 'job': 'leader'}, 201, 'PASS')
